#Conference	Forum	Status	Decision
iclr_2018	ryzm6BATZ	no_revision	Reject
iclr_2018	ryykVe-0W	complete	Reject
iclr_2018	rywHCPkAW	complete	Accept (Poster)
iclr_2018	rywDjg-RW	complete	Accept (Poster)
iclr_2018	ryvxcPeAb	no_revision	Reject
iclr_2018	ryup8-WCW	complete	Accept (Poster)
iclr_2018	rytstxWAW	complete	Accept (Poster)
iclr_2018	rytNfI1AZ	complete	Accept (Poster)
iclr_2018	ryserbZR-	complete	Reject
iclr_2018	rypT3fb0b	complete	Accept (Poster)
iclr_2018	rylejExC-	complete	Reject
iclr_2018	rylSzl-R-	complete	Accept (Poster)
iclr_2018	ryk77mbRZ	no_revision	Reject
iclr_2018	ryjw_eAaZ	complete	Reject
iclr_2018	ryj38zWRb	complete	Reject
iclr_2018	ryj0790hb	no_revision	Reject
iclr_2018	ryiAv2xAZ	complete	Accept (Poster)
iclr_2018	ryepFJbA-	complete	Reject
iclr_2018	rye7IMbAZ	complete	Reject
iclr_2018	rydeCEhs-	complete	Accept (Poster)
iclr_2018	rybDdHe0Z	complete	Reject
iclr_2018	rybAWfx0b	complete	Invite to Workshop Track
iclr_2018	ryb83alCZ	complete	Reject
iclr_2018	ryazCMbR-	complete	Accept (Poster)
iclr_2018	ryacTMZRZ	no_revision	Reject
iclr_2018	ry_WPG-A-	complete	Accept (Poster)
iclr_2018	ryZElGZ0Z	no_revision	Reject
iclr_2018	ryZERzWCZ	no_revision	Reject
iclr_2018	ryZ8sz-Ab	complete	Invite to Workshop Track
iclr_2018	ryZ3KCy0W	no_revision	Reject
iclr_2018	ryZ283gAZ	complete	Invite to Workshop Track
iclr_2018	ryY4RhkCZ	no_revision	Reject
iclr_2018	ryUlhzWCZ	complete	Accept (Poster)
iclr_2018	ryTp3f-0-	complete	Accept (Poster)
iclr_2018	ryRh0bb0Z	complete	Accept (Poster)
iclr_2018	ryQu7f-RZ	complete	Accept (Oral)
iclr_2018	ryPW2e-A-	no_decision	None
iclr_2018	ryOG3fWCW	no_revision	Reject
iclr_2018	ryH_bShhW	no_revision	Reject
iclr_2018	ryHM_fbA-	no_revision	Reject
iclr_2018	ryH20GbRW	complete	Accept (Poster)
iclr_2018	ryG6xZ-RZ	complete	Invite to Workshop Track
iclr_2018	ryF-cQ6T-	complete	Reject
iclr_2018	ryDNZZZAW	complete	Invite to Workshop Track
iclr_2018	ryCM8zWRb	complete	Reject
iclr_2018	ryBnUWb0b	complete	Accept (Poster)
iclr_2018	ryBfxWPp-	no_decision	None
iclr_2018	ryALZdAT-	complete	Invite to Workshop Track
iclr_2018	ryA-jdlA-	no_revision	Reject
